u,v,speed,dir_from
-1.3818152980370955,3.355367357080633,3.6287606174631604,157.61704063607425
-0.607793396169489,3.5314879850907754,3.583409019532622,170.23467075315483
0.02439041029323231,3.7864822040904653,3.7865607579976923,180.36906240873623
-0.9761672453446822,3.2078353708440606,3.353074746754399,163.0746198563579
-0.26038244095715607,0.6070287877863103,0.6605171949011805,156.7832911144993
-0.08145324750380084,1.0523170557889072,1.0554647400236303,175.57391921809503
0.005732536315917963,1.477743690664118,1.477754809591301,180.22226350302054
0.07069922577251088,1.64520508592779,1.646723460477654,182.46065160444618
-0.9016477953303945,-2.300745617259633,2.471112935938698,21.399901720490107
-0.816024422645569,-1.5378265380859377,1.7409211123986676,27.951981637202323
-0.3406797539104115,-0.45697732405229047,0.5699920783857007,36.70478363292693
0.18998529694297098,0.15979526259682386,0.24825176535705995,229.9330508210603
-0.1964305205778642,1.6883791143243965,1.6997673320491027,173.3638904529713
-0.10928572307933462,2.49583252993497,2.4982240465479806,177.4927751096974
-0.14129622416062787,3.128867972980846,3.132056738839084,177.41434254885388
-0.033492066643454776,3.1405409466136587,3.1407195283700617,179.3889965595462
0.37131731076674024,2.581995649771257,2.608558621291218,188.18360922760095
0.07641212506727738,3.0355958071621987,3.0365573792237184,181.44194688640175
0.1700935417955572,3.1429446827281606,3.14754397771497,183.09777775848826
-0.12011378461664372,3.2066306417638604,3.208879460801518,177.8548209370452
-0.2531775236129761,2.3818332715467974,2.3952512586177925,173.93251481264917
-0.3640808842398904,2.879709243774414,2.902633324922166,172.79434023692866
-0.8612467917529019,2.8953170559623027,3.020696424808505,163.43425877457938
-0.7687412825497714,2.967282295227051,3.0652450765092474,165.4755712256308
-1.837622100656683,3.2234930992126465,3.7104935986325907,150.3137604361292
-1.9228716655211018,3.312207395380194,3.829902514696052,149.86308471078468
-1.6742154251445422,3.087538415735418,3.5122486754832574,151.5312696151758
-1.4245762933384287,2.6331595290790903,2.993818084173097,151.5859893353499
-1.730968627062711,3.956540497866544,4.318618424812895,156.37083912016115
-1.6066117178310049,4.148167176680132,4.448425804434453,158.82829517367074
-1.6794583689082754,3.8711701739918105,4.219779488184167,156.54699702710735
-1.7432432066310535,3.396319822831588,3.81757582981977,152.8297421868248
-1.3947923183441162,3.3107793547890405,3.592590367326769,157.15488157524868
-1.762604832649231,3.3921662243929775,3.822769609849766,152.54314257628562
-1.9179474548860032,3.2537454691800205,3.7769540661640577,149.48242109482607
-1.7867127982052888,2.968205798755992,3.46447518204984,148.95414343162997
-1.4418003992600874,3.250223029743541,3.555662826307049,156.0779045161001
-1.569752416827462,3.325119972229004,3.677029436903092,154.72852143886615
-1.4846157594160598,3.156620892611417,3.4883146952041786,154.81155183963227
-1.1805862621827559,2.856691577217796,3.091030684060213,157.54613745970957
-1.2513314810666172,3.369504061612216,3.5943550320926274,159.6265324539969
-1.5841111486608332,3.436349825425581,3.783901195064951,155.2509325913375
-2.2206741246310147,3.3327723849903452,4.004842735733821,146.32390914314254
-2.335755608298562,2.9468170946294614,3.7602506899006887,141.59836213683965
-1.483341487971219,3.133947329087691,3.46726518043148,154.67114575843988
-1.7407303940166128,3.3439090468666772,3.769863395186892,152.49997945240295
-1.9805916005914863,3.4386423717845576,3.968249544744593,150.05888830033047
-1.9624780958349053,3.2401278669183906,3.7881062380314674,148.7975818525737
-1.3196067701686511,3.2695612690665503,3.5258180497658995,158.0208186056356
-1.3383454246954485,3.2609835104508833,3.52493715280653,157.6861851426069
-1.4616903066635132,3.0436061945828525,3.3764000385465565,154.34737760331274
-1.4664224440401248,2.5783435431393706,2.9661844532720982,150.3711209894908
-0.7108239910819313,-1.1467392173680393,1.3491781123882454,31.79334282501145
-0.11415269158103247,-0.2237027124925093,0.25114485973577205,27.034651190000773
0.2418749115683816,0.23762156746604227,0.33906855084367715,225.50822536776366
0.44063908403569996,0.6118983355435459,0.7540440142463718,215.75834449084192
-0.8333628177642822,-2.6429257826371626,2.7712001512991233,17.501015886177527
-0.6260912960225886,-2.4023677652532407,2.482611767974021,14.607177236743667
-0.6620395291935313,-2.2019661014730283,2.299337089304463,16.73384490571192
-0.5965320630507036,-1.883438381281766,1.9756494219199943,17.57429752677143
-1.1143140142614192,-0.4885091348127885,1.2166909620667599,66.3276191206835
-0.9335844950242475,0.18172818964177917,0.9511073253109543,101.01524169005557
-0.667744289744984,0.9171837676655162,1.1345080432311376,143.94397294265622
-0.38538670539855957,1.5836751677773215,1.6298926190803136,166.32294007816859
-0.935619440945712,1.1051233681765469,1.4479921951327783,139.7480837447149
-0.4999990463256836,2.1196406971324575,2.1778144391262457,166.72721063328862
-0.34078602357344195,3.019210468639027,3.038382294544663,173.5601346479059
-0.14408200437372382,3.3293482173572886,3.3324644298783603,177.5219945821383
-0.517837949774482,1.7900114059448244,1.8634100395884976,163.86520839082908
-0.6677087491208856,2.692550057714636,2.774105402999617,166.072533395726
-0.6754256703636864,3.295198353854093,3.36370807702288,168.41637542963912
-0.7706352038816973,3.4581594467163086,3.542985376257575,167.4371671853371
-1.626295349814675,2.9079880714416504,3.33185101534804,150.78385181212292
-1.6754047870635986,3.0959960764104673,3.5202518241831267,151.5798706849322
-1.6002870256250556,3.1258561394431372,3.5116798215210685,152.88975114447845
-1.558610439300537,2.7066999782215464,3.123378182929684,150.06519068195098
-1.2063774954188955,3.2729516462846235,3.488202852525981,159.76661411546542
-1.4551865350116384,3.270393068140203,3.5795305099717574,156.0129596522076
-1.4374469098719682,3.2150983810424805,3.52180510796416,155.91093161829428
-1.3899349272251131,2.792291446165605,3.119104137769351,153.53699229690022
-1.2644537795673718,2.490645408630371,2.793234310292239,153.08395267170607
-0.9075912995771928,2.9743602492592554,3.109749324212773,163.03104355674787
-0.5593153780156915,3.0261998610063037,3.0774533775248987,169.52851393343946
-0.277788443998857,2.7743339538574223,2.7882064678114253,174.28214705948415
